Codice Articolo,Lob Associata,Nome LOB,Inventario,Descrizione Articolo,Lob Associata Orig Norm,Lob Associata Cleaned,LOB Cleaning Decision
02076-001,1015,VIDEOSORVEGLIANZA,Inventario,AXIS T94N02D Pendant Kit,1015,1015,unchanged
02098-001,2013,VIDEOSORVEGLIANZA,Inventario,"AXIS TD4801 Sunshield, 4 pcs",2013,2013,unchanged
02105-002,2013,VIDEOSORVEGLIANZA,Inventario,AXIS S3008 2 TB Recorder is a compact recorder with 8 PoE ports and a gigabit uplink. Up to 8 device,2013,2013,unchanged
02107-001,2013,VIDEOSORVEGLIANZA,Inventario,An outdoor pendant kit for mounting AXIS Q38 Series.,2013,2013,unchanged
021-07257,3002,SOFTWARE MICROSOFT,Inventario,OFFICESTD SNGL LICSAPk OLV NL 1Y AqY1 AP,3002,3002,unchanged
02108-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS TQ3102 Pendant Kit,2013,2013,unchanged
02110-001,1015,VIDEOSORVEGLIANZA,Inventario,AXIS TQ6501-E Parapet Mount,1015,1015,unchanged
021-10609,3002,SOFTWARE MICROSOFT,Inventario,OfficeStd 2019 SNGL OLP NL,3002,3002,unchanged
02112-001,2013,VIDEOSORVEGLIANZA,Inventario,M4215-LV,2013,2013,unchanged
02113-001,1015,VIDEOSORVEGLIANZA,Inventario,"Compact, varifocal, D/N mini dome with built-in IR illumination and dust- and vandal-resistant casin",1015,1015,unchanged
02124-001,2013,VIDEOSORVEGLIANZA,Inventario,M2035-LE,2013,2013,unchanged
02125-001,2013,VIDEOSORVEGLIANZA,Inventario,"""Day/night, compact and outdoor-ready bullet style 4 MP camera, IP66, IP67, NEMA 4X and IK08-rated. ",2013,2013,unchanged
02144-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS A4020-E Reader,2013,2013,unchanged
02150-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS Q1951-E 7mm 30 fps,2013,2013,unchanged
02152-001,2013,VIDEOSORVEGLIANZA,Inventario,Q1951-E 13mm 30 fps,2013,2013,unchanged
0-2153052-5,1001,CABLAGGI COMMSCOPE,Inventario,"Cavo trunk MRJ21/MRJ21, XG, schermato, metri 5",1001,1001,unchanged
02154-001,2013,VIDEOSORVEGLIANZA,Inventario,"Outdoor thermal network camera for wall and ceiling mount, 384x288 resolution, 30 fps, and 19 mm len",2013,2013,unchanged
02156-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS Q1951-E 35mm 30 fps,2013,2013,unchanged
02172-002,2013,VIDEOSORVEGLIANZA,Inventario,Single port midspan for Power over Ethernet Plus (PoE+) IEEE 802.3at Type 2 Class 4 products,2013,2013,unchanged
02174-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS Q1961-TE Q1961-TE is an ARTPEC 8 based thermometric camera that lets you remotely monitor tempe,2013,2013,unchanged
02208-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS 30 W MIDSPAN AC/DC,2013,2013,unchanged
02218-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P3727-PLE,2013,2013,unchanged
02224-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS Q3536-LVE 29 mm,2013,2013,unchanged
02225-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS Q3538-LVE Dome Camera,2013,2013,unchanged
02250-001,2013,VIDEOSORVEGLIANZA,Inventario,TU6004-E CABLE 8M,2013,2013,unchanged
02252-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS TU6004-E CABLE 30M,2013,2013,unchanged
02274-001,2013,VIDEOSORVEGLIANZA,Inventario,TQ3902 MOUNT BRACKET,2013,2013,unchanged
02300GS11007,3004,CLOUD VARIE HW,Inventario,CONF. 12 RIBBON 2300 CERA 110MMX74M CORE 12.7MM,3004,3004,unchanged
02303-001,2014,CONTROLLO ACCESSI,Inventario,AXIS TA4701 Access Card 100P,2014,2014,unchanged
02316-002,2013,VIDEOSORVEGLIANZA,Inventario,AXIS Q6225-LE 50 Hz,2013,2013,unchanged
02327-001,2013,VIDEOSORVEGLIANZA,Inventario,"""High-performance fixed dome camera with Deep Learning Processing Unit (DLPU). Forensic WDR, Lightfi",2013,2013,unchanged
02328-001,2013,VIDEOSORVEGLIANZA,Inventario,High-performance fixed dome camera with Deep Learning Processing Unit,2013,2013,unchanged
02329-001,2013,VIDEOSORVEGLIANZA,Inventario,High-performance fixed dome camera with Deep Learning Processing Unit (DLPU).,2013,2013,unchanged
02330-001,2013,VIDEOSORVEGLIANZA,Inventario,"""High-performance fixed dome camera with Deep Learning Processing Unit (DLPU). Forensic WDR, Lightfi",2013,2013,unchanged
02331-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P3268-LV,2013,2013,unchanged
02332-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P3268-LVE,2013,2013,unchanged
02337400,2006,APPARATI VARI,Inventario,"Base station 1 Gb version, IP POE",2006,2006,unchanged
02339-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P1465-LE,2013,2013,unchanged
02341-001,2013,VIDEOSORVEGLIANZA,Inventario,"""Compact outdoor, NEMA 4X, IP66, IP67 and IK10-rated 5MP resolution, day/night, fixed bullet camera ",2013,2013,unchanged
02342-001,2013,VIDEOSORVEGLIANZA,Inventario,P1468-LE,2013,2013,unchanged
