Descrizione Articolo,Lob Associata,Codice Articolo,Nome LOB,Inventario
Cisco ISR 4300 Series IOS XE Universal,2003,SISR4300UK9-173,APPARATI CISCO WAN,Inventario
Cisco ISR 4300 Series IOS XE Universal,2003,SISR4300UK9-316S,APPARATI CISCO WAN,Inventario
Cisco ISR 4300 Series IOS XE Universal,4004,SISR4300UK9-165,TELEFONIA SOFTWARE,Inventario
Cisco ISR 4300 Series IOS XE Universal,4005,SISR4300UK9-172,ROUTER TELEFONIA,Inventario
Cisco ISR 4400 Series IOS XE Universal,2002,SISR4400UK9-166,APPARATI CISCO LAN,Inventario
Cisco ISR 4400 Series IOS XE Universal,2002,SISR4400UK9-173,APPARATI CISCO LAN,Inventario
Cisco ISR 4400 Series IOS XE Universal,2003,SISR4400UK9-313S,APPARATI CISCO WAN,Inventario
Cisco ISR1100 Series IOS XE - UNIVERSAL,2002,SISR1100UK9-1712,APPARATI CISCO LAN,Inventario
Cisco ISR1100 Series IOS XE - UNIVERSAL,2003,SISR1100UK9-176,APPARATI CISCO WAN,Inventario
Cisco ISR1100 Series IOS XE - UNIVERSAL,2003,SISR1100UK9-179,APPARATI CISCO WAN,Inventario
Cisco Identity Service Engine Subscription,2002,ISE-SEC-SUB 36 MESI,APPARATI CISCO LAN,Inventario
Cisco Identity Service Engine Subscription,6001,ISE-SEC-SUB,CISCO SECURITY,Inventario
Cisco UCS 1050W AC Power Supply for Rack Server,3009,UCSC-PSU1-1050W,SERVER CISCO,Inventario
Cisco UCS 1050W AC Power Supply for Rack Server,3030,HX-PSU1-1050W,STORAGE IPERCONVERGENZA CISCO,Inventario
Cisco UCS 1600W AC Power Supply for Rack Server,3009,UCSC-PSU1-1600W,SERVER CISCO,Inventario
Cisco UCS 1600W AC Power Supply for Rack Server,3030,HX-PSU1-1600W,STORAGE IPERCONVERGENZA CISCO,Inventario
Cisco UCS VIC 1455 Quad Port 10/25G SFP28 CNA PCIE,2002,APIC-PCIE-C25Q-04,APPARATI CISCO LAN,Inventario
Cisco UCS VIC 1455 Quad Port 10/25G SFP28 CNA PCIE,3009,UCSC-PCIE-C25Q-04,SERVER CISCO,Inventario
Cisco UCS VIC 1457 Quad Port 10/25G SFP28 CNA MLOM,3009,UCSC-MLOM-C25Q-04,SERVER CISCO,Inventario
Cisco UCS VIC 1457 Quad Port 10/25G SFP28 CNA MLOM,3030,HX-MLOM-C25Q-04,STORAGE IPERCONVERGENZA CISCO,Inventario
Cisco VG400 Analog Voice Gateway,2002,VG400-4FXS/4FXO,APPARATI CISCO LAN,Inventario
Cisco VG400 Analog Voice Gateway,2003,VG400-2FXS/2FXO,APPARATI CISCO WAN,Inventario
Cisco VIC 1387 Dual Port 40Gb QSFP CNA MLOM,3009,UCSC-MLOM-C40Q-03,SERVER CISCO,Inventario
Cisco VIC 1387 Dual Port 40Gb QSFP CNA MLOM,3030,HX-MLOM-C40Q-03,STORAGE IPERCONVERGENZA CISCO,Inventario
Cloud Device Registration Entitlement,4008,A-FLEX-C-DEV-ENT,CISCO VIDEOCONFERENZA/BOARD,Non in inventario
Cloud Device Registration Entitlement,4015,A-FLEX-DEVREG-ENT,CISCO COLLABORATION A CANONE,Non in inventario
Cloud Guard Managed Application Protection- Complete- 10 Mbps Traffic Add-On- Yearly Fee,6002,CPCGCAPCOMP10MTRAADD,CHECKPOINT SECURITY,Inventario
Cloud Guard Managed Application Protection- Complete- 10 Mbps Traffic Add-On- Yearly Fee,6027,CPCGCAPCOMP10MTRAAD,RADWARE SECURITY,Non in inventario
Cloud Guard Managed Application Protection- Complete- 10 Mbps- 1 ApplicatiOn- ManagedService- Yearly,6002,CPCGCAPCOMP10M1APP1Y,CHECKPOINT SECURITY,Inventario
Cloud Guard Managed Application Protection- Complete- 10 Mbps- 1 ApplicatiOn- ManagedService- Yearly,6028,CPCGCAPCOMP10M1APP1,RINNOVO RADWARE SECURITY,Non in inventario
Cloud One - Workload Security (Deep Security as a Service) Pre-Paid Annual Subscription - per Server,6003,DX01008783,TREND MICRO PRIMA VENDITA,Inventario
Cloud One - Workload Security (Deep Security as a Service) Pre-Paid Annual Subscription - per Server,6012,DX01100920,RINNOVO SOFTWARE TREND MICRO,Non in inventario
Cloud WAF Enterprise - ERT Premium per Application - Yearly Fee,6002,CPCGWAFERTPAPPADD1Y,CHECKPOINT SECURITY,Inventario
Cloud WAF Enterprise - ERT Premium per Application - Yearly Fee,6027,CPCGWAFERTPAPPADD1Y.,RADWARE SECURITY,Non in inventario
"Connettore per illuminazione Wieland Femmina, 3 poli, Montaggio su cavo",1002,1576520,CABLAGGIO ALTERNATIVO,Inventario
"Connettore per illuminazione Wieland Femmina, 3 poli, Montaggio su cavo",3004,768-4466,CLOUD VARIE HW,Inventario
"Connettore per illuminazione Wieland Maschio, 3 poli, Montaggio su cavo",1002,2134543,CABLAGGIO ALTERNATIVO,Inventario
"Connettore per illuminazione Wieland Maschio, 3 poli, Montaggio su cavo",3004,768-4478,CLOUD VARIE HW,Inventario
Cristie BMR (Bare Metal Recovery) for Cohesity DataProtect provides the ability to recover the Syste,3041,SUB-CRISTIE-BMR-1YR,COHESITY,Inventario
Cristie BMR (Bare Metal Recovery) for Cohesity DataProtect provides the ability to recover the Syste,3042,SUB-CRISTIE-BMR-TERM,RINNOVO COHESITY,Non in inventario
